searchterm,userid,created_year,created_month,created_date,created_hour,created_min,created_sec,retweet_count,favorite_count,friends_count,followers_count,location,tweet
trump,742965281342009344,2016,10,25,06,13,25,0,0,3,94,,@Always_Trump  Ask yourself 'who's desperate'?
trump,3311012851,2016,10,25,06,13,25,1727,0,1,77051, USA,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,2329148937,2016,10,25,06,13,25,235,0,1569,660,Truth = Freedom,RT @vivelafra: BREAKING: Former Clinton Fdn CEO Applies for Asylum?  Somebody find Eric Braverman before #Hillary does &gt; https://t.co/hqCCp…
trump,85620067,2016,10,25,06,13,25,85,0,1992,1308,New York City ✈ Silicon Valley,RT @HuffingtonPost: WATCH: President Obama burns Donald Trump in priceless edition of Kimmel's 'Mean Tweets' https://t.co/3MsGwbOQ8P https:…
hillary,401797919,2016,10,25,06,13,25,0,0,4975,4943,Albuquerque NM,Wikileaks: Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience - Breitbart https://t.co/SCiqpr4bOx
trump,458001112,2016,10,25,06,13,25,431,0,58,24,,RT @tracieeeeee: Hey #Trump supporters @realDonaldTrump @RealJamesWoods https://t.co/oxbJT5vbMS
trump,3308096163,2016,10,25,06,13,25,46622,0,216,177, USA,RT @wikileaks: Democrats prepared fake Trump "grope under the meeting table" Craigslist employment advertisement in May 2016 https://t.co/p…
hillary,24226326,2016,10,25,06,13,25,4567,0,5002,4291,Texas,RT @JaredWyand: Hillary's "we go high" campaign was planning their swift-boat attacks against Trump during the Sanders primary#PodestaEma…
hillary,526601851,2016,10,25,06,13,25,9930,0,2112,2186, NJ,RT @realDonaldTrump: 'Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience' https://t.co/1GVq74iW8a
trump,49856275,2016,10,25,06,13,25,6,0,992,5168,Auckland,RT @cctvnews: Understand Hillary Clinton and Donald Trump’s views on trade with China in 90 seconds https://t.co/580QvZTDwX
trump,736595243978657793,2016,10,25,06,13,25,1727,0,1,9,,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,436261000,2016,10,25,06,13,25,0,0,369,519,Hiroshima Japan,Hillary Clinton Song - "Dishonesty" A Parody of Billy Joel's "Honesty" https://t.co/noiiMIWKhq @YouTubeさんから
trump,732253484,2016,10,25,06,13,25,1727,0,42,12808, NY,RT @hoax: hitler vs trump https://t.co/wg815vdue4
hillary,719575907166470148,2016,10,25,06,13,25,15,0,1194,1254, USA,RT @halsteadg048: Of all things Hillary should be in JAIL for does "Donald Duck" FINALLY #LockHerUp?https://t.co/uN1P6b9h4H#Veritas #Pod…
