,Genre,AvgTemp,imdbRating
272,Horror,54.8859073359,50112.26
273,Horror,55.1583572111,180.1
274,Horror,58.5588732394,69846.91875
275,Horror,59.5156787763,6759.55714286
276,Horror,62.9375838926,2223.02
277,Horror,63.6048262548,35860.56
278,Horror,68.8692380952,4103.02
279,Horror,69.5371428571,100565.471429
280,Horror,72.0241578441,5543.18
281,Horror,72.4614793468,79888.7
282,Horror,74.1365555556,6217.31428571
283,Horror,74.7735099338,16478.9
284,Horror,74.866572238,192.0
285,Horror,76.1165525114,305200.942857
286,Music,33.7520225776,3242.14
287,Music,34.9158898305,
288,Music,35.5807135969,62.2
289,Music,41.2365924492,284.15
290,Music,42.8927815207,53069.5
291,Music,46.5324324324,154.75
292,Music,47.8371014493,1860.3
293,Music,49.3877294686,49.0
294,Music,49.6228764479,
295,Music,54.8859073359,5705.43333333
296,Music,55.1583572111,1836.62
297,Music,58.5588732394,62.9
298,Music,59.5156787763,213.0
299,Music,62.9375838926,874.9
300,Music,63.6048262548,5918.85
301,Music,68.8692380952,657.4
302,Music,69.5371428571,460.925
303,Music,72.0241578441,35934.9285714
304,Music,72.4614793468,2009.1
305,Music,74.1365555556,71172.05
306,Music,74.7735099338,57305.875
307,Music,74.866572238,5865.0
308,Music,76.1165525114,1683.75
309,Musical,33.7520225776,73.2
310,Musical,41.2365924492,
311,Musical,42.8927815207,26575.55
312,Musical,46.5324324324,111.3
313,Musical,49.3877294686,
314,Musical,54.8859073359,
315,Musical,55.1583572111,
316,Musical,58.5588732394,37445.2
317,Musical,59.5156787763,16909.2
318,Musical,62.9375838926,
319,Musical,63.6048262548,510.0
320,Musical,68.8692380952,315.7
321,Musical,69.5371428571,4578.4
322,Musical,72.0241578441,35.0
323,Musical,72.4614793468,
324,Musical,74.1365555556,
325,Musical,74.7735099338,1051.6
326,Musical,76.1165525114,1088.0
327,Mystery,33.7520225776,403.2
328,Mystery,34.9158898305,34648.42
329,Mystery,35.5807135969,72886.0833333
330,Mystery,41.2365924492,163304.55
331,Mystery,42.8927815207,36281.9666667
332,Mystery,46.5324324324,3503.76666667
333,Mystery,47.8371014493,9389.375
334,Mystery,49.3877294686,188986.366667
335,Mystery,49.6228764479,21080.0
336,Mystery,54.8859073359,50.0
337,Mystery,55.1583572111,1092.375
338,Mystery,58.5588732394,6493.6
339,Mystery,59.5156787763,69647.3
340,Mystery,62.9375838926,60.9
341,Mystery,63.6048262548,29600.3
342,Mystery,68.8692380952,4627.2
343,Mystery,69.5371428571,78375.4166667
344,Mystery,72.0241578441,702.0
345,Mystery,72.4614793468,2745.85
346,Mystery,74.1365555556,
347,Mystery,74.7735099338,49.7
348,Mystery,74.866572238,972.8
349,Mystery,76.1165525114,931939.3
350,News,33.7520225776,
351,News,34.9158898305,
352,News,35.5807135969,
353,News,42.8927815207,70.0
354,News,46.5324324324,
355,News,54.8859073359,
356,News,55.1583572111,
357,News,58.5588732394,885.0
358,News,62.9375838926,183.466666667
359,News,63.6048262548,440.2
360,News,72.0241578441,
361,News,74.7735099338,14573.6
362,Reality-TV,33.7520225776,
363,Reality-TV,34.9158898305,451.133333333
364,Reality-TV,35.5807135969,199.8
365,Reality-TV,41.2365924492,2869.2
366,Reality-TV,42.8927815207,1401.3
367,Reality-TV,46.5324324324,140.6
368,Reality-TV,47.8371014493,639.1
369,Reality-TV,49.3877294686,63.2
370,Reality-TV,54.8859073359,599.5
371,Reality-TV,55.1583572111,56.5
372,Reality-TV,58.5588732394,1655.4
373,Reality-TV,62.9375838926,
374,Reality-TV,63.6048262548,394.95
375,Reality-TV,68.8692380952,
376,Reality-TV,69.5371428571,
