,imdbID,Language,Genre,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Other_Awards,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
1598,tt3768572,English,Crime; Drama; Thriller,1 win & 1 nomination.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1599,tt3774694,English; French,Drama; Romance,1 win & 1 nomination.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,tt3831000,Norwegian; Swedish,Drama; Family,1 win & 3 nominations.,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601,tt3833746,,Documentary,6 nominations.,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1602,tt3833822,English; French; Japanese,Documentary; Music,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1603,tt3838728,French,Drama,4 nominations.,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1604,tt3848126,English,Drama,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605,tt3850590,English; German,Comedy; Fantasy; Horror,2 wins & 8 nominations.,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606,tt3855240,Dutch,Crime; Drama; Thriller,1 win & 6 nominations.,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1607,tt3872918,French,Crime; Drama; Thriller,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1608,tt3878542,English,Animation; Action; Adventure,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1609,tt3882082,English,Horror; Mystery; Thriller,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610,tt3882928,English,Action,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1611,tt3893280,English,Drama,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1612,tt3901256,English,Horror; Thriller,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1613,tt3910602,English,Documentary; Biography,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1614,tt3917316,Catalan; Spanish,Romance,7 nominations.,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615,tt3946090,English,Short; Drama; Family,4 wins & 6 nominations.,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1616,tt3949660,English,Action; Adventure; Comedy,2 nominations.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
